0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,31,UTTAR PRADESH,3154,GORAKHPUR,3010931,251.6092469,40,183,1638.140399,7733,18,22621,4584228,1617257,91040,7548,357,823.7747,13996.25665,113331,123291,186000,257974,1805,350365,467204,30354,11534.34155,2307472,17,60.32,83.97,100.11,NA
2025-2026,Sep,31,UTTAR PRADESH,3161,VARANASI,698933,255.4514888,23,126,252.282898,3336,2,11952,750119,271208,44508,4986,823,260.96767,2429.440722,31485,37774,77900,121632,57,161756,229081,15288,1916.190154,389946,26,56.48,60.1,100.63,NA
2025-2026,Sep,31,UTTAR PRADESH,3166,HATHRAS,404070,247.6747336,24,61,457.3793908,985,14,7528,535344,174943,21808,523,52,158.97595,1942.267166,22215,25570,47861,65566,7,82072,106534,8513,1325.911826,130476,6,60.44,77.99,100.05,NA
2025-2026,Sep,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2377043,254.5144549,34,228,1692.862462,13805,11,14888,3144662,1017377,75152,3458,208,406.66354,10103.14535,91179,98291,178808,225149,149,266820,337200,28693,8003.619347,1739585,39,58.95,86.92,100.02,NA
2025-2026,Sep,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1443573,251.4971003,31,107,1429.796251,4552,21,23526,1944660,753451,78074,3827,449,552.20612,6872.765883,62353,68527,151838,203741,193,273619,351055,28078,4890.763512,973586,24,50.73,89.88,100.1,NA
2025-2026,Sep,31,UTTAR PRADESH,3179,MAHOBA,590098,247.3682725,31,166,547.6495002,1674,2,8583,499176,119774,21946,401,93,136.19951,1918.652058,16055,21599,45411,82597,136,99978,168158,10257,1234.803048,192633,40,44.26,84.06,102.02,NA
2025-2026,Sep,31,UTTAR PRADESH,3181,AMETHI,1271505,250.590797,31,108,1903.164796,4610,1,16526,1237898,376894,54442,187,12,544.77447,5549.99773,39730,43822,129791,179006,66,231644,303270,21136,3102.058464,484708,25,43.66,66.88,100.2,NA
2025-2026,Sep,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1343378,248.8284074,25,844,1747.931934,7165,5,17317,1615633,460290,67823,717,86,471.01682,6239.102616,64167,72453,162432,230195,116,345780,454068,24482,4020.153863,341855,22,70.63,73.46,100.04,NA
2025-2026,Sep,31,UTTAR PRADESH,3140,LALITPUR,1887557,250.8332734,32,168,1126.88601,4774,1,16575,2061562,465399,55512,105432,15266,259.21105,6557.180508,63396,86951,128132,217799,694,189510,309494,21349,5171.083448,899366,42,47.38,82.92,100.56,NA
2025-2026,Sep,31,UTTAR PRADESH,3148,BARABANKI,2426318,257.4419561,35,315,2366.893319,9641,3,23251,3180394,1370878,123735,2455,130,670.05292,11224.61476,88911,101742,207127,282312,539,380664,497570,32892,8187.668525,1084621,20,53.88,85.2,100.59,NA
2025-2026,Sep,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,3514682,252.3582925,35,189,1988.974811,8100,12,22097,5408437,1285369,83734,344,17,448.40914,16086.02322,152248,167860,257181,355300,205,382772,518859,30197,13648.63926,3169475,14,64.72,79.03,100,NA
2025-2026,Sep,31,UTTAR PRADESH,3168,KANNAUJ,998803,252.6343082,26,142,851.22677,2265,7,13224,960190,274869,38219,328,19,233.75045,3510.746584,36498,40693,89524,115246,18,141610,176819,15489,2425.769364,313809,22,68.73,84.18,101.18,NA
2025-2026,Sep,31,UTTAR PRADESH,3172,KUSHI NAGAR,1689406,254.1879182,33,438,1210.439382,13098,14,24458,3091992,772090,67385,23719,1828,569.26526,9639.174737,92916,109834,184023,258998,221,386162,520217,37556,7859.470095,1316842,27,63.58,76.55,100.42,NA
2025-2026,Sep,31,UTTAR PRADESH,3183,SHAMLI,140472,239.184038,31,62,7.05257,587,18,4995,204165,28314,3452,294,54,5.75806,501.1407211,6441,7560,16610,21573,1,48383,58646,5582,488.3300911,67527,11,58.13,76.51,100.27,NA
2025-2026,Sep,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,276798,247.240411,24,12,137.230446,3199,12,4949,274085,68150,11788,697,80,26.79402,841.6733464,11128,12975,31425,42034,20,78058,97738,8148,677.6488804,107104,7,71.81,81.74,101.88,NA
2025-2026,Sep,31,UTTAR PRADESH,3118,ALIGARH,1143046,246.1961089,24,175,1475.719008,2102,5,19119,1241972,288360,38505,1710,205,263.28326,4796.689005,50736,56718,120235,156574,73,199136,252630,21221,3057.686737,395762,20,66.1,75.38,101.05,NA
2025-2026,Sep,31,UTTAR PRADESH,3124,BUDAUN,1704290,250.0198691,28,307,758.1611098,3231,36,20960,1525458,270077,35653,1329,162,335.28075,4907.389954,53309,57182,137202,178519,45,238810,303994,24191,3813.948094,320699,20,67.66,73.8,100.07,NA
2025-2026,Sep,31,UTTAR PRADESH,3125,BAREILLY,1345038,252.2587583,23,278,1484.859143,5157,20,25824,1539022,319453,54451,958,159,248.70843,5615.885361,64909,75290,164252,241451,44,281753,388276,30981,3882.317787,290624,29,48.22,71.81,100.27,NA
2025-2026,Sep,31,UTTAR PRADESH,3134,FARRUKHABAD,746049,249.7079738,31,61,339.4862434,1780,3,10948,810414,188062,22551,49,8,242.72513,2605.879752,25395,27607,69398,91576,176,113578,142911,12728,2023.668379,209391,16,66.55,94.25,100.03,NA
2025-2026,Sep,31,UTTAR PRADESH,3138,JALAUN,3098302,242.8431053,36,522,4725.691902,4099,4,24147,3733948,1058982,83398,1515,72,275.93237,14069.25954,101811,129936,178517,262733,367,231214,333585,28246,9067.635272,1467431,39,77.19,83.1,101,NA
2025-2026,Sep,31,UTTAR PRADESH,3143,FATEHPUR,1266986,257.7049951,28,237,1746.945904,3405,11,16350,1140959,422233,70971,619,124,257.07219,4944.326429,40707,43942,150797,193418,164,268120,333831,19755,2940.308335,431400,24,56.53,79.28,100.09,NA
2025-2026,Sep,31,UTTAR PRADESH,3150,SULTANPUR,2675923,248.7794693,36,407,2920.378602,10300,17,19452,3358869,830759,75584,7757,608,557.03942,11833.59449,91114,98333,206368,288444,913,352785,493060,29752,8356.176471,1624596,30,42.94,68.83,100.44,NA
2025-2026,Sep,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,3514682,252.4130087,35,189,2094.654061,8187,9,22022,5413369,1287264,83751,344,17,448.40914,16207.11077,152286,167905,257181,355350,205,382772,518933,30209,13664.04756,3171689,14,64.63,78.9,100,NA
2025-2026,Sep,31,UTTAR PRADESH,3158,JAUNPUR,4267749,250.976892,33,585,3871.208351,20840,33,31246,4378326,1496164,143987,161,29,689.11077,15548.90564,130983,138057,298690,400961,172,483001,645288,52086,10988.58652,2265295,43,66.55,82.36,100.28,NA
2025-2026,Sep,31,UTTAR PRADESH,3168,KANNAUJ,998803,253.170173,26,145,870.3519946,2303,7,13221,979760,280120,38226,342,19,233.75045,3584.562531,36920,41183,89520,115252,18,141777,177003,15524,2480.460087,319626,22,68.7,84.17,101.16,NA
2025-2026,Sep,31,UTTAR PRADESH,3171,CHANDAULI,2522394,251.0578659,46,230,6502.329032,3016,13,21619,4764731,1138809,63398,22018,1155,436.50648,18901.06748,102978,132104,148207,220152,1010,208892,300342,24635,11962.23196,1943473,20,50.79,58.53,104.22,NA
2025-2026,Sep,31,UTTAR PRADESH,3172,KUSHI NAGAR,1689406,254.2977522,33,438,1339.34732,13216,14,24405,3101481,774521,67393,23872,1828,569.26526,9795.609049,92981,109918,184047,259033,231,386210,520275,37621,7886.996469,1321194,27,63.29,76.21,100.42,NA
2025-2026,Sep,31,UTTAR PRADESH,3176,SHRAVASTI,1046530,252.6527903,39,186,665.3221083,3346,0,10070,1574969,416914,30352,10994,1048,159.20837,4803.733603,39775,46959,75587,108929,500,124885,170794,13416,3979.203125,695413,28,56,85.64,100.25,NA
2025-2026,Sep,31,UTTAR PRADESH,3179,MAHOBA,590098,247.258292,31,166,547.6495002,1616,2,8664,497111,119247,21941,401,93,136.19951,1912.997178,16022,21557,45404,82584,133,99910,168078,10280,1229.148168,191940,40,44.24,84.07,102.03,NA
2025-2026,Sep,31,UTTAR PRADESH,3182,HAPUR,99144,248.7808,26,10,32.3219815,676,2,1174,99559,57426,4425,32,4,2.5489,282.5545582,3704,4126,8193,9703,5,16942,20720,1850,247.6836767,42541,4,85.03,99.93,100.32,NA
2025-2026,Sep,31,UTTAR PRADESH,3109,BIJNOR,1494290,251.0864775,18,227,1737.317744,4183,4,21342,1794533,688489,114820,8446,1084,304.19016,6547.337602,95669,113252,183433,267907,42,269979,375623,25525,4505.829697,613351,12,57.62,77.77,100.57,NA
2025-2026,Sep,31,UTTAR PRADESH,3118,ALIGARH,1143046,245.9462179,24,175,1475.719008,2123,5,19111,1251815,291133,38514,1730,205,263.28326,4817.793915,50838,56847,120246,156597,73,199149,252653,21234,3078.791648,398213,20,66.22,75.46,101.06,NA
2025-2026,Sep,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1343378,248.9253443,25,845,1961.701748,7455,5,17140,1644106,467243,67846,761,86,471.01682,6525.315089,64611,73015,162476,230320,148,345817,454230,24595,4092.59652,348470,22,70.49,73.3,100.04,NA
2025-2026,Sep,31,UTTAR PRADESH,3131,UNNAO,1151775,254.1691465,32,145,1321.450855,4492,8,21256,1518659,527017,60445,3045,290,240.88492,5422.298394,46360,49885,122641,163409,287,274056,354597,25748,3859.962619,535531,25,43.84,61.27,100.06,NA
2025-2026,Sep,31,UTTAR PRADESH,3133,RAE BARELI,1204866,244.3141313,25,204,1378.0849,4725,4,23205,1391852,776661,126244,718,151,592.81982,5371.395842,55606,63162,155296,245423,79,306087,442607,27930,3400.491123,654194,12,45.26,59.71,100.2,NA
2025-2026,Sep,31,UTTAR PRADESH,3135,ETAWAH,659698,254.2119979,24,96,1413.037447,3052,3,9634,689149,233372,36197,783,137,482.78178,3647.718669,27949,30058,78072,98655,75,139509,168451,12686,1751.899441,206661,30,65.63,65.52,100.34,NA
2025-2026,Sep,31,UTTAR PRADESH,3140,LALITPUR,1887557,250.4217623,32,171,1166.99933,4902,1,16506,2084947,469955,55519,107295,15266,259.21105,6647.371401,63578,87195,128170,217866,898,189552,309582,21408,5221.161021,908183,42,47.69,82.87,100.56,NA
2025-2026,Sep,31,UTTAR PRADESH,3152,MAHARAJGANJ,2879617,254.7653692,29,324,1404.144802,7180,0,28384,3561369,801320,75791,15760,1738,455.23376,10932.51345,122280,142048,227192,337191,390,375984,531429,35564,9073.134883,1910241,19,52.33,75.71,100,NA
2025-2026,Sep,31,UTTAR PRADESH,3154,GORAKHPUR,3010931,251.6877691,40,183,1638.140399,7754,18,22623,4589846,1619251,91048,7572,357,823.7747,14013.9961,113360,123325,186008,258000,1831,350368,467223,30377,11552.081,2309654,17,60.34,83.98,100.11,NA
2025-2026,Sep,31,UTTAR PRADESH,3155,DEORIA,1424139,250.4015221,35,88,926.5648733,3678,49,20228,2217228,518190,38106,83414,5627,459.9662,6938.503733,62815,66841,121637,153354,37,226219,282726,23906,5551.97266,940348,12,61.17,85.74,100.59,NA
2025-2026,Sep,31,UTTAR PRADESH,3156,MAU,1692565,250.3341079,36,461,972.768381,8029,17,15732,2880029,1048645,76138,40721,2884,340.79508,8523.258365,79013,90575,142468,209136,415,251158,350446,23761,7209.694904,1542712,21,54.62,85.71,100.35,NA
2025-2026,Sep,31,UTTAR PRADESH,3160,GHAZIPUR,3472018,247.3223462,29,182,4203.766773,11238,9,21864,4091978,996351,94256,38409,3429,620.38515,14944.52792,136837,156667,280824,372803,46,466065,603784,33102,10120.376,1934549,20,32.59,73.06,100.34,NA
2025-2026,Sep,31,UTTAR PRADESH,3161,VARANASI,698933,255.2658933,23,127,252.282898,3345,2,11952,752006,271983,44508,4986,823,260.96767,2432.865402,31504,37797,77904,121640,57,161756,229081,15297,1919.614834,391076,26,56.52,60.14,100.63,NA
2025-2026,Sep,31,UTTAR PRADESH,3162,MIRZAPUR,1639681,250.9821302,27,183,739.3953978,7978,2,21922,1431990,604254,96550,17170,2470,325.382,4658.816404,52652,63816,143900,218471,190,275460,396544,29900,3594.039006,774343,35,56.76,81.71,100.06,NA
2025-2026,Sep,31,UTTAR PRADESH,3167,AMROHA,1253605,245.1319239,23,78,1866.7156,6939,1,16467,1175294,294416,39514,796,91,310.08389,5057.820284,50292,58428,102410,144366,82,146936,200270,23406,2881.020794,308095,20,51.16,92.57,100.21,NA
2025-2026,Sep,31,UTTAR PRADESH,3168,KANNAUJ,998803,252.9051233,26,147,870.3519946,2409,7,13153,992148,284225,38234,355,19,233.75045,3613.295567,37117,41436,89529,115276,18,141987,177235,15562,2509.193123,323032,22,68.76,84.13,101.2,NA
2025-2026,Sep,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,2377043,254.5621813,34,228,1689.395285,13875,10,14833,3146966,1018185,75152,3458,208,406.66354,10107.04412,91183,98296,178808,225149,153,266830,337216,28708,8010.985296,1740382,39,58.97,86.93,100.02,NA
2025-2026,Sep,31,UTTAR PRADESH,3175,BALRAMPUR,1228666,251.9872818,25,253,2256.927712,5808,1,19155,1478648,393797,47239,26363,3966,428.08807,6411.020684,57476,62513,131541,187353,98,184407,255537,24963,3726.004903,612568,20,66.27,84.33,100.26,NA
2025-2026,Sep,31,UTTAR PRADESH,3179,MAHOBA,590098,247.0513896,31,166,547.6495002,1728,2,8522,501381,120490,21952,401,93,136.19951,1922.517738,16097,21651,45429,82628,139,100041,168233,10250,1238.668728,193171,40,44.25,84.08,102.01,NA
2025-2026,Sep,31,UTTAR PRADESH,3120,AGRA,1717131,249.1839527,35,161,1262.821416,3219,3,16005,2454502,691354,53155,10473,742,352.48437,7731.530888,70011,87628,122561,177727,355,189076,263787,19224,6116.225102,1003489,30,48.05,79.71,100.53,NA
2025-2026,Sep,31,UTTAR PRADESH,3124,BUDAUN,1704290,250.8829754,28,303,732.3337102,3103,37,21017,1499006,264109,35635,1308,162,335.28075,4828.365315,53050,56888,137149,178439,40,238794,303951,24120,3760.750854,316017,20,68.25,74.45,100.07,NA
2025-2026,Sep,31,UTTAR PRADESH,3141,HAMIRPUR,1523238,250.2606952,39,144,1255.518425,4123,0,14047,2418231,475619,41321,1419,80,321.7024,7629.102536,60865,82632,115129,186094,596,180065,288878,18170,6051.881711,1043362,47,58.46,90.41,100.34,NA
2025-2026,Sep,31,UTTAR PRADESH,3144,PRATAPGARH,2206265,261.4845453,30,231,2595.939229,14945,32,19133,2037149,764380,95209,5529,545,475.60267,8398.371699,66381,69303,194995,251120,145,360642,461774,34078,5326.8298,1068492,28,47.26,86.2,100.02,NA
2025-2026,Sep,31,UTTAR PRADESH,3146,BAHRAICH,4112952,250.9449135,38,403,2805.66574,12575,15,33977,5443934,1076056,71016,39582,2410,567.42532,17034.36653,141202,158765,281881,350580,1064,434541,529060,46552,13661.27547,2506570,52,45.56,77.53,100.96,NA
2025-2026,Sep,31,UTTAR PRADESH,3149,AYODHYA,1331872,257.8860604,31,87,1669.996896,5321,11,19967,1905390,763499,71806,3476,257,652.59431,7236.326413,61161,66879,130151,183000,137,233822,311998,25288,4913.735207,933383,17,35.24,89.11,100.08,NA
2025-2026,Sep,31,UTTAR PRADESH,3159,BALLIA,1255137,247.2245789,35,173,1003.244395,9497,26,20354,2558418,577951,46607,88717,7465,477.71106,7805.993582,72739,81768,159748,206292,140,319315,400191,29851,6325.038127,1158645,24,74.51,90.6,100.27,NA
2025-2026,Sep,31,UTTAR PRADESH,3163,SONBHADRA,1528430,249.1912682,25,276,1506.717695,4995,1,17733,1428032,427733,78055,440040,78913,308.07249,5373.321236,55456,68877,166259,260047,203,277426,419363,22728,3558.531051,797001,41,67.4,83.49,100.19,NA
2025-2026,Sep,31,UTTAR PRADESH,3181,AMETHI,1271505,250.5405856,30,108,1733.68244,4520,1,16557,1211308,370065,54438,187,12,544.77447,5313.275066,39495,43555,129783,178984,63,231640,303251,21077,3034.818156,474595,25,43.14,66.68,100.19,NA
2025-2026,Sep,31,UTTAR PRADESH,3111,RAMPUR,1554335,252.4810652,39,111,1587.600785,4065,3,14015,2654377,489355,34924,1509,68,290.08816,8579.488269,66732,76970,111964,148066,369,173719,222643,18080,6701.799324,761507,9,65.29,82.13,100.45,NA
2025-2026,Sep,31,UTTAR PRADESH,3117,BULANDSHAHR,220167,238.3365721,29,56,429.0166958,769,54,11130,453396,87773,10238,353,49,55.4585,1565.08368,15130,15986,37884,48976,57,90923,115746,11899,1080.608485,171359,7,71.18,80.73,101.16,NA
2025-2026,Sep,31,UTTAR PRADESH,3122,ETAH,744253,249.8515386,32,129,3082.286901,4004,10,11756,1212365,231268,21119,921,58,195.10524,6306.504747,37076,40237,83625,105845,190,148453,185455,15760,3029.112606,430790,10,58.2,77.66,100.75,NA
2025-2026,Sep,31,UTTAR PRADESH,3124,BUDAUN,1704290,251.0136235,29,318,1189.474948,4597,33,20015,1571245,279078,35696,1388,162,335.28075,5468.794706,53781,57712,137307,178697,50,238918,304230,24612,3944.039008,327463,20,67.16,73.04,100.07,NA
2025-2026,Sep,31,UTTAR PRADESH,3127,SHAHJAHANPUR,1343378,248.047846,25,847,2453.856131,7718,5,17000,1697272,479855,67874,787,86,471.01682,7134.919588,65358,73950,162562,230508,194,345896,454575,24718,4210.046637,360304,22,70.64,73.31,100.04,NA
2025-2026,Sep,31,UTTAR PRADESH,3131,UNNAO,1151775,252.9033578,33,146,1644.704271,5008,9,20979,1573073,546751,60487,3078,290,240.88492,5863.943628,46904,50497,122706,163510,354,274146,354744,25987,3978.354437,552705,25,44.52,61.42,100.08,NA
2025-2026,Sep,31,UTTAR PRADESH,3133,RAE BARELI,1204866,244.293341,25,204,1788.400099,4846,4,23213,1428187,794665,126265,761,151,592.81982,5870.185657,56060,63729,155305,245458,91,306123,442681,28059,3488.965738,669930,12,45.65,59.9,100.24,NA
2025-2026,Sep,31,UTTAR PRADESH,3138,JALAUN,3098302,242.75565,36,526,6215.97133,4695,4,23621,3757091,1066379,83427,1538,72,275.93237,15612.45438,102028,130238,178556,262808,373,231328,333767,28316,9120.55068,1475888,39,76.99,82.85,101.01,NA
2025-2026,Sep,31,UTTAR PRADESH,3139,JHANSI,1708999,252.7583992,41,579,2673.004178,6107,0,14902,1908346,609532,56063,17611,1339,187.88837,7684.39735,46286,60790,105377,168628,711,192593,299017,21009,4823.504802,766445,43,66.37,80.74,100.32,NA
2025-2026,Sep,31,UTTAR PRADESH,3140,LALITPUR,1887557,250.7152051,33,176,1921.646198,5467,1,16047,2122586,478301,55549,109998,15269,259.21105,7502.503091,63874,87619,128217,217962,1110,189666,309769,21514,5321.645842,922222,42,48.21,82.96,100.57,NA
2025-2026,Sep,31,UTTAR PRADESH,3143,FATEHPUR,1266986,257.6259296,28,274,2301.722637,3974,10,16048,1183968,437459,71794,651,126,257.07219,5609.003393,41278,44575,150834,195403,208,268206,337123,20022,3050.208566,446256,25,57.26,79.29,100.1,NA
2025-2026,Sep,31,UTTAR PRADESH,3144,PRATAPGARH,2206265,260.8185159,31,235,3488.51206,16081,29,18403,2088321,783812,95301,5662,545,475.60267,9410.842568,66726,69673,195039,251329,365,360801,462283,34484,5446.727839,1092855,29,47.22,85.93,100.04,NA
2025-2026,Sep,31,UTTAR PRADESH,3154,GORAKHPUR,3010931,251.5467884,40,183,2895.03388,8008,17,22483,4635617,1634652,91082,7588,357,823.7747,15379.55426,113506,123503,186186,258295,2126,350389,467272,30491,11660.74568,2331685,17,59.93,83.15,100.11,NA
2025-2026,Sep,31,UTTAR PRADESH,3158,JAUNPUR,4267749,251.2453579,34,599,5721.319148,21749,30,30670,4533355,1552789,144048,193,30,689.11077,17800.27391,132207,139387,298854,401212,333,483090,645480,52419,11389.844,2341734,43,66.63,82.08,100.29,NA
2025-2026,Sep,31,UTTAR PRADESH,3160,GHAZIPUR,3472018,246.5705191,30,182,5289.238681,12154,9,21154,4179175,1021353,94312,39694,3430,620.38515,16214.23732,137591,157535,280930,372940,72,466211,603958,33308,10304.61349,1972988,20,33.34,73.06,100.34,NA
2025-2026,Sep,31,UTTAR PRADESH,3167,AMROHA,1253605,246.7198603,24,82,2471.604849,7222,1,16379,1231567,305766,39537,845,91,310.08389,5820.209121,50993,59282,102466,144464,87,146965,200329,23601,3038.520382,322497,20,50.7,92.72,100.2,NA
2025-2026,Sep,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1443573,251.4302021,31,107,2248.067077,5686,19,22415,1951095,755462,78080,3870,449,552.20612,7705.915299,62451,68641,151840,203756,195,273637,351084,28101,4905.642102,976898,24,50.57,89.47,100.12,NA
2025-2026,Sep,31,UTTAR PRADESH,3183,SHAMLI,140472,238.0532697,32,62,18.611463,589,18,5004,209268,29073,3453,322,54,5.75806,522.5388395,6501,7630,16621,21591,2,48392,58660,5593,498.1693165,68896,11,56.24,73.93,100.27,NA
2025-2026,Sep,31,UTTAR PRADESH,3110,MORADABAD,1201936,260.9933571,26,194,1253.237299,5948,9,13594,1395507,260328,30964,719,115,378.33001,5273.747877,51810,59805,107718,148051,42,193450,267692,19542,3642.180568,389505,20,57.36,73.87,100.33,NA
2025-2026,Sep,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,276798,248.0662708,25,12,178.340464,3769,11,4411,280598,69638,11816,706,80,26.79402,901.2034786,11194,13049,31436,42130,25,78083,97937,8180,696.0689946,109327,7,70.95,81.02,102.38,NA
2025-2026,Sep,31,UTTAR PRADESH,3119,MATHURA,1382558,246.624699,38,67,1039.290127,3739,18,13254,2014121,539140,36415,3850,232,178.35813,6184.96811,52503,63267,89203,120122,743,144804,192766,16993,4967.319854,852030,16,64.73,78.27,100.09,NA
2025-2026,Sep,31,UTTAR PRADESH,3122,ETAH,744253,240.616077,33,129,3088.501825,4071,11,11752,1233330,235409,21164,939,58,195.10524,6251.197328,37197,40387,83667,105930,220,148610,185648,15823,2967.590263,436476,10,58.12,77.62,100.75,NA
2025-2026,Sep,31,UTTAR PRADESH,3126,PILIBHIT,1050432,250.0889548,20,417,2303.884983,4923,5,17324,1122510,206370,39466,5174,604,347.45844,5458.61695,56015,65611,138920,218184,45,251586,370714,22247,2807.273527,231454,24,38.86,60,102.23,NA
2025-2026,Sep,31,UTTAR PRADESH,3131,UNNAO,1151775,245.3357753,33,147,1651.72148,5149,9,20943,1605194,557256,60499,3137,290,240.88492,5830.721546,47258,50893,122735,163582,384,274495,355192,26092,3938.115146,562898,25,44.94,61.4,100.08,NA
2025-2026,Sep,31,UTTAR PRADESH,3139,JHANSI,1708999,252.358443,41,580,2705.694444,6339,0,14750,1926195,615760,56078,17798,1339,187.88837,7754.498524,46350,60884,105400,168672,753,192744,299213,21089,4860.915711,773429,43,66.27,80.05,100.39,NA
2025-2026,Sep,31,UTTAR PRADESH,3142,BANDA,1251844,231.9180754,34,308,1546.852142,7356,2,15223,1153420,273798,47277,422,46,351.75867,4573.600278,32970,43381,123262,198377,387,231058,358483,22579,2674.989466,522156,57,52.81,75.3,101.13,NA
2025-2026,Sep,31,UTTAR PRADESH,3143,FATEHPUR,1266986,249.6622166,28,277,2312.87405,4229,10,15847,1196147,441969,72058,651,126,257.07219,5556.273355,41446,44790,150840,196289,237,268388,338632,20076,2986.327114,451038,25,57.15,79.19,100.1,NA
2025-2026,Sep,31,UTTAR PRADESH,3146,BAHRAICH,4112952,248.4011461,38,407,5292.100781,13245,15,33342,5471099,1081833,71246,39582,2451,567.42532,19449.79872,141335,158931,281864,351561,1130,435387,531391,46587,13590.27262,2516166,52,45.34,77.11,100.99,NA
2025-2026,Sep,31,UTTAR PRADESH,3161,VARANASI,698933,250.7962754,24,122,455.0879189,3868,2,11543,774915,278542,44520,5267,823,260.96767,2659.513546,31759,38129,77920,121677,67,162160,229560,15411,1943.457958,402679,26,56.36,60.24,100.7,NA
2025-2026,Sep,31,UTTAR PRADESH,3166,HATHRAS,404070,244.4491478,24,61,613.7834589,1236,14,7361,555865,181626,21825,543,52,158.97595,2131.566664,22397,25793,47884,65610,11,82105,106598,8597,1358.807256,134640,6,60.66,78.01,100.05,NA
2025-2026,Sep,31,UTTAR PRADESH,3168,KANNAUJ,998803,241.7975094,27,154,1328.523453,2626,7,13193,1076095,309857,38246,368,19,233.75045,4164.244812,38505,43088,89511,115303,53,142983,178334,15819,2601.970909,346260,22,68.91,84.36,101.23,NA
2025-2026,Sep,31,UTTAR PRADESH,3171,CHANDAULI,2522394,246.0666969,46,230,7206.457914,3518,15,21342,4851983,1159858,63443,22701,1156,436.50648,19582.0787,103558,132891,148372,220402,1181,209512,301088,24860,11939.1143,1975486,20,50.31,57.77,104.32,NA
2025-2026,Sep,31,UTTAR PRADESH,3173,SANT RAVIDAS NAGAR,668731,244.6994251,27,50,774.1697108,2088,4,8774,712476,269426,36064,1781,297,371.18898,2888.783367,25905,29965,65884,90860,140,123516,163233,10862,1743.424676,384183,34,62.14,81.26,100.58,NA
2025-2026,Sep,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1443573,246.6437651,31,107,2260.590216,6603,22,20913,1953619,756437,78080,3879,449,552.20612,7631.275794,62502,68702,151838,203759,195,273665,351125,27516,4818.479458,978062,24,50.41,89.12,100.12,NA
2025-2026,Sep,31,UTTAR PRADESH,3181,AMETHI,1271505,241.6329004,31,108,2400.641576,5884,1,15461,1282767,389806,54452,199,12,544.77447,6045.003154,40245,44451,129821,179060,92,231721,303378,21345,3099.587108,500663,25,44.06,66.79,100.24,NA
2025-2026,Sep,31,UTTAR PRADESH,3183,SHAMLI,140472,238.487668,32,62,18.9698977,602,18,4994,210811,29220,3454,336,54,5.75806,527.4861955,6525,7660,16621,21593,2,48398,58673,5596,502.7582378,69259,11,56.44,74.09,100.26,NA
2025-2026,Sep,31,UTTAR PRADESH,3184,SAMBHAL,769344,244.5885926,22,68,1202.318359,1904,15,17821,801369,206997,35175,363,56,342.50249,3504.878008,36294,40349,91157,117601,6,150036,188743,19725,1960.057159,215257,11,60.58,70.43,100.67,NA
2025-2026,Sep,31,UTTAR PRADESH,3110,MORADABAD,1201936,260.8425471,26,194,1438.83661,5984,9,13575,1398019,260502,30967,719,115,378.33001,5463.794987,51814,59810,107725,148064,42,193466,267709,19559,3646.628368,390209,20,57,72.91,100.33,NA
2025-2026,Sep,31,UTTAR PRADESH,3120,AGRA,1717131,245.7846829,36,163,2250.687547,4862,4,14689,2595116,730834,53477,11020,745,352.48437,8981.569549,70756,88637,122751,178882,596,189436,265364,19551,6378.397632,1057009,31,48.26,79.36,100.72,NA
2025-2026,Sep,31,UTTAR PRADESH,3122,ETAH,744253,238.7024136,33,129,3183.211529,4084,11,11776,1251011,238659,21195,1007,58,195.10524,6364.51022,37292,40502,83855,106155,287,148914,185995,15860,2986.193451,443263,10,58.47,77.73,100.75,NA
2025-2026,Sep,31,UTTAR PRADESH,3124,BUDAUN,1704290,250.1660019,29,320,1383.253818,4968,25,19792,1589890,282847,35712,1397,162,335.28075,5695.898815,53998,57965,137351,178783,72,239046,304419,24760,3977.364247,330513,20,66.64,72.36,100.07,NA
